"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SA2D9EMN","webpage","","","Wal-Mart, notorious for low pay, is suddenly on the wage march","Star Tribune","","","","http://www.startribune.com/wal-mart-notorious-for-low-pay-is-suddenly-on-the-wage-march/367288481/","No firm in the world matches the economic imprint of Wal-Mart.","","2016-06-16 19:25:36","2019-09-23 18:03:00","2016-06-16 19:25:36","","","","","","","","","","","","","","","","","","","","","","","F:\zotero\storage\IKS6XM46\367288481.html; ","http://www.startribune.com/wal-mart-notorious-for-low-pay-is-suddenly-on-the-wage-march/367288481/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z8I3H84S","magazineArticle","2016","Drum, Kevin","Aldi Has a Very Impressive Barcode Strategy","Mother Jones","","","","http://www.motherjones.com/kevin-drum/2016/06/aldi-has-very-impressive-barcode-strategy","Drum","2016-06-13","2016-07-31 18:19:20","2019-09-21 19:25:49","2016-07-31 18:19:20","","","","","","","","","","","","","","","","","","","","","","","F:\zotero\storage\VNM3UJFB\aldi-has-very-impressive-barcode-strategy.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25SF2HFS","magazineArticle","2016","Matskis, Louise","The Future of Robot Labor Is Unfolding in Shipping Warehouses","Motherboard","","","","http://motherboard.vice.com/read/the-future-of-robot-labor-is-unfolding-in-shipping-warehouses","What’s happened inside warehouses since Amazon bought a fleet of robots in 2012?","2016-09-16","2016-09-28 13:30:33","2019-09-23 17:55:58","2016-09-28 13:30:33","","","","","","","","","","","","","","","","","","","","","00000","","F:\zotero\storage\3WVCJ5WR\the-future-of-robot-labor-is-unfolding-in-shipping-warehouses.html; ","http://motherboard.vice.com/read/the-future-of-robot-labor-is-unfolding-in-shipping-warehouses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72A36G6R","blogPost","2016","Johnson, William","5 Retail Automation Trends that Can Turn Your Business to Gold","Small Business Trends","","","","http://smallbiztrends.com/2016/07/retail-tech-automation-trends.html","Automation is like the fabled king Midas, whose touch could turn everything into gold. All the i...","2016-07-22","2016-09-15 19:23:24","2019-09-23 17:54:23","2016-09-15 19:23:24","","","","","","","","","","","","","","","","","","","","","00000","","F:\zotero\storage\V4N77K8M\retail-tech-automation-trends.html; ","http://smallbiztrends.com/2016/07/retail-tech-automation-trends.html?tr=sb_pop_tcs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AD8D2IS8","webpage","","","True Confessions from the Front Lines of Online Delivery - Eater","","","","","http://www.eater.com/2016/9/26/13055526/caviar-grubhub-primenow-seamless-ubereats-online-delivery-confessional","","","2016-09-28 13:50:42","2019-09-23 18:02:44","2016-09-28 13:50:42","","","","","","","","","","","","","","","","","","","","","00000","","F:\zotero\storage\EF7P8ASM\caviar-grubhub-primenow-seamless-ubereats-online-delivery-confessional.html; ","http://www.eater.com/2016/9/26/13055526/caviar-grubhub-primenow-seamless-ubereats-online-delivery-confessional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DXFDPBG2","report","2015","Beck, Adrian; Hopkins, Matt","Developments in Retail Mobile Scanning Technologies: Understanding the Potential Impact on Shrinkage & Loss Prevention","","","","","http://www.alphagalileo.org/AssetViewer.aspx?AssetId=114179&CultureCode=en","","2015","2016-10-05 11:59:17","2019-09-23 17:50:56","2016-10-05 11:59:06","","","","","","","","","","","","University of Leicester","","","","","","","","","00000","","F:\zotero\storage\9HI3MBVW\Beck_Hopkins_2015_Developments in Retail Mobile Scanning Technologies.pdf; ","http://www.alphagalileo.org/AssetViewer.aspx?AssetId=114179&CultureCode=en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZ6KXR6Q","newspaperArticle","2016","Mele, Christopher","Self-Service Checkouts Can Turn Customers Into Shoplifters, Study Says","The New York Times","","0362-4331","","http://www.nytimes.com/2016/08/11/business/self-service-checkouts-can-turn-customers-into-shoplifters-study-says.html","The study of purchases in countries like Britain and the United States suggested that shoppers may find it easy to justify not scanning merchandise and taking it without paying.","2016-08-10","2016-10-06 12:09:33","2019-09-23 17:56:03","2016-10-06 12:09:33","","","","","","","","","","","","","","","","","","","NYTimes.com","","00000","","F:\zotero\storage\GZCBPI7D\self-service-checkouts-can-turn-customers-into-shoplifters-study-says.html; ","http://www.nytimes.com/2016/08/11/business/self-service-checkouts-can-turn-customers-into-shoplifters-study-says.html","","Colleges and Universities; Self-Service; Shoplifting and Employee Theft (Retail); Shopping and Retail; Supermarkets and Grocery Stores; University of Leicester","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FIIJJ2BT","magazineArticle","2016","Buckley, Sean","San Francisco Lowe's stores to get robot workers this fall","Engadget","","","","https://www.engadget.com/2016/09/02/san-francisco-lowes-stores-to-get-robot-workers-this-fall/","LoweBot will help customers find what they're looking for.","2016-09-02","2016-09-15 10:04:19","2019-09-23 21:18:45","2016-09-15 10:04:19","","","","","","","","","","","","","","","","","","","","","00000","","F:\zotero\storage\FJBJNJNQ\san-francisco-lowes-stores-to-get-robot-workers-this-fall.html; ","https://www.engadget.com/2016/09/02/san-francisco-lowes-stores-to-get-robot-workers-this-fall/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICSWV627","magazineArticle","2015","Goldman, Sharon","5 cutting-edge retail technology trends","CIO","","","","http://www.cio.com/article/2989716/retail/5-cutting-edge-retail-technology-trends.html","","2015-10-06","2016-10-07 10:53:11","2019-09-21 19:19:06","2016-10-07 10:53:11","","","","","","","","","","","","","","","","","","","","","00000","","F:\zotero\storage\6KTQ73RJ\5-cutting-edge-retail-technology-trends.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NHZPQHPP","newspaperArticle","","DePillis, Lydia","Self-checkout and the limits of automation","Houston Chronicle","","","","http://www.houstonchronicle.com/business/texanomics/article/The-limits-of-automation-9239708.php","Just because a human can be replaced by a robot, it doesn't mean they will.","","2016-10-05 11:57:07","2019-09-23 17:52:51","2016-10-05 11:57:07","","","","","","","","","","","","","","","","","","","","","00000","","F:\zotero\storage\TB7ZUZDH\The-limits-of-automation-9239708.html; ","http://www.houstonchronicle.com/business/texanomics/article/The-limits-of-automation-9239708.php","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UEAXDBZW","blogPost","2016","Collins, Jon","The future of retail will need people, and this blog post shows why","Gigaom","","","","https://gigaom.com/2016/10/04/the-future-of-retail-will-need-people-and-this-blog-post-shows-why/","","2016-10-04","2016-10-08 12:44:55","2019-09-23 17:09:30","2016-10-08 12:44:55","","","","","","","","","","","","","","","","","","","","","00000","","F:\zotero\storage\2QB7SM2W\the-future-of-retail-will-need-people-and-this-blog-post-shows-why.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VFUDD62M","journalArticle","2015","Hortaçsu, Ali; Syverson, Chad","The Ongoing Evolution of US Retail: A Format Tug-of-War","Journal of Economic Perspectives","","0895-3309","10.1257/jep.29.4.89","http://pubs.aeaweb.org/doi/10.1257/jep.29.4.89","","2015-11","2017-01-06 21:15:36","2019-09-23 17:54:00","2017-01-06 21:15:36","89-112","","4","29","","","The Ongoing Evolution of US Retail","","","","","","","en","","","","","CrossRef","","00000","","F:\zotero\storage\69ZVJX97\evolution of us retail.pdf; F:\zotero\storage\QR8PZGAT\The Ongoing Evolution of US Retail.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XSKRZNF6","report","2015","","The future of grocery e-commerce, digital technology and changing shopping preferences                       around the world","","","","","","","2015-04","2017-01-06 22:09:34","2019-09-23 18:00:32","","","","","","","","","","","","","Nielsen","","","","","","","","","00000","","F:\zotero\storage\KEU3FUVG\Nielsen Global E-Commerce and The New Retail Report APRIL 2015 (Digital).pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WRJGNC8G","report","","Desai, Parag; Potia, Ali; Salsberg, Brian","Retail 4.0: the Future of Retail Grocery in a Digital World","","","","","","","","2017-01-06 22:11:19","2019-09-23 17:52:56","","","","","","","","","","","","","PWC","","","","","","","","","00000","","F:\zotero\storage\2F3GSPA2\PWC Future_of_grocery_in_digital_world.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EERGT4EJ","magazineArticle","2016","Williams, Geoff","Meet the Supermarket of the Future","US News & World Report","","","","http://money.usnews.com/money/personal-finance/articles/2016-01-01/meet-the-supermarket-of-the-future","If you hate grocery shopping, you may love some of the ways stores plan to win you over.","2016-01-01","2017-01-06 22:16:52","2019-09-23 18:00:10","2017-01-06 22:16:52","","","","","","","","","","","","","","","","","","","","","00000","","F:\zotero\storage\SA5WW9KN\meet-the-supermarket-of-the-future.html; ","http://money.usnews.com/money/personal-finance/articles/2016-01-01/meet-the-supermarket-of-the-future","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E3P5337P","magazineArticle","2015","Taylor, Kate","Kroger's grocery store of the future - Business Insider","Business Insider","","","","http://www.businessinsider.com/krogers-grocery-store-of-the-future-2015-11","","2015-08-11","2017-01-06 22:18:59","2019-09-23 17:59:00","2017-01-06 22:18:59","","","","","","","","","","","","","","","","","","","","","00000","","F:\zotero\storage\EGF9CTMG\krogers-grocery-store-of-the-future-2015-11.html; ","http://www.businessinsider.com/krogers-grocery-store-of-the-future-2015-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A68TJHKB","magazineArticle","2015","Kelly, Heather","Why is this robot in the grocery store?","CNN Money","","","","","","2015-11-10","2017-01-06 22:26:17","2019-09-23 17:55:15","","","","","","","","","","","","","","","","","","","","","","00000","","F:\zotero\storage\WDKHZISR\CNN Money robots in grocery stores.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J68GC4MT","report","2015","","Capturing the Online  Grocery Opportunity","","","","","","","2015","2017-01-06 22:28:27","2019-09-23 18:00:31","","","","","","","","","","","","","AT Kearney","","","","","","","","","00000","","F:\zotero\storage\5C3EI6DJ\AT Kearney Capturing the Online Grocery Opportunity.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XDQ7C45W","webpage","2016","Thompson, Ben","The Amazon Tax","Stratechery by Ben Thompson","","","","https://stratechery.com/2016/the-amazon-tax/","Amazon is building a lot of businesses that look like AWS: taxes on major industries that work to everyone’s benefit. The reason, though, is that AWS is a lot like Amazon itself.","2016-03-15","2017-01-24 15:54:14","2019-09-23 17:59:15","2017-01-24 15:54:14","","","","","","","","","","","","","","","","","","","","","00000","","F:\zotero\storage\8D7XU8PC\the-amazon-tax.html; ","https://stratechery.com/2016/the-amazon-tax/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B7VDBQA5","magazineArticle","2017","Ungerleider, Neal","Hold The Storefront: How Delivery-Only ""Ghost"" Restaurants Are Changing Takeout","Fast Company","","","","https://www.fastcompany.com/3064075/fast-cities/hold-the-storefront-how-delivery-only-ghost-restaurants-are-changing-take-out","""Ghost restaurants"" with no physical location are popping up across the country. Can a restaurant succeed if it's delivery-only?","2017-01-20","2017-02-09 17:39:39","2019-09-23 17:59:27","2017-02-09 17:39:39","","","","","","","Hold The Storefront","","","","","","","","","","","","","","","","F:\zotero\storage\HN3ZEUZR\hold-the-storefront-how-delivery-only-ghost-restaurants-are-changing-take-out.html; ","https://www.fastcompany.com/3064075/fast-cities/hold-the-storefront-how-delivery-only-ghost-restaurants-are-changing-take-out","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88VXDVIS","magazineArticle","2017","","Three snapshots of digital transformation | McKinsey & Company","McKinsey Quarterly","","","","http://www.mckinsey.com/business-functions/digital-mckinsey/our-insights/three-snapshots-of-digital-transformation","Financial services, food retailing, and pharma are reinventing themselves in different ways.","2017-01","2017-02-09 20:54:48","2019-09-23 18:00:50","2017-02-09 20:54:48","","","","","","","","","","","","","","","","","","","","","","","F:\zotero\storage\UZBR8W5J\three-snapshots-of-digital-transformation.html; ","http://www.mckinsey.com/business-functions/digital-mckinsey/our-insights/three-snapshots-of-digital-transformation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JASA9CG4","blogPost","2016","Glatzel, Christoph; Hopkins, Matt; Lange, Tim; Weiss, Uwe","The secret to smarter fresh-food replenishment? Machine learning | McKinsey & Company","McKinsey & Company","","","","http://www.mckinsey.com/industries/retail/our-insights/the-secret-to-smarter-fresh-food-replenishment-machine-learning","With machine-learning technology, retailers can address the common--and costly--problem of having too much or too little fresh food in stock.","2016-11","2017-02-09 20:57:08","2019-09-23 17:53:30","2017-02-09 20:57:08","","","","","","","The secret to smarter fresh-food replenishment?","","","","","","","","","","","","","","","","F:\zotero\storage\TAWVNZKG\the-secret-to-smarter-fresh-food-replenishment-machine-learning.html; ","http://www.mckinsey.com/industries/retail/our-insights/the-secret-to-smarter-fresh-food-replenishment-machine-learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I48QXX7X","magazineArticle","2015","Sloat, Sarah","A New Robot Will Replace the Stockboy","Inverse","","","","https://www.inverse.com/article/8154-say-goodbye-to-humans-refilling-the-soda-aisle-tally-the-robot-can-do-it-fine","Re-stocker is just one of the millions of jobs estimated to be replaced by robots in the coming decade.","2015-11-13","2017-02-09 21:53:12","2017-02-09 21:53:45","2017-02-09 21:53:12","","","","","","","","","","","","","","","","","","","","","","","F:\zotero\storage\HQJP3SXV\8154-say-goodbye-to-humans-refilling-the-soda-aisle-tally-the-robot-can-do-it-fine.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WU4JDPHM","webpage","2016","Jaravel, Xavier","The Unequal Gains from Product Innovations: Evidence from the US Retail Sector","","","","","","","2016","2017-02-17 14:40:30","2019-09-23 17:54:20","","","","","","","","The Unequal Gains from Product Innovations","","","","","","","","","","","","","","","","F:\zotero\storage\59SUERZ4\jmp_xjaravel_dec26.pdf; ; F:\zotero\storage\WSSKS9XH\publications.html; ","http://scholar.harvard.edu/files/xavier/files/jmp_xjaravel_dec26.pdf; http://scholar.harvard.edu/xavier/publications","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GG7Z42F5","newspaperArticle","2017","Fox, Justin","Retailers Get the Hard Sell","Bloomberg View","","","","https://www.bloomberg.com/view/articles/2017-01-12/retailers-get-the-hard-sell-in-an-amazon-world","It's all about personalized service and efficiency. But are consumers being offered anything new?","2017-01-12","2017-02-26 20:15:03","2019-09-23 17:53:23","2017-02-26 20:15:03","","","","","","","","","","","","","","","","","","","www.bloomberg.com","","","","F:\zotero\storage\SZD4WXWC\retailers-get-the-hard-sell-in-an-amazon-world.html; ","https://www.bloomberg.com/view/articles/2017-01-12/retailers-get-the-hard-sell-in-an-amazon-world","","Software; Tech; Texas; Manhattan; Environment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9B2ZVWE7","newspaperArticle","2016","Fox, Justin","When the Checkout Lines Go Away","Bloomberg View","","","","https://www.bloomberg.com/view/articles/2016-12-06/amazon-go-and-what-happens-when-checkout-lines-go-away","In Amazon Go's future, maybe cashiers lose their jobs, or maybe their jobs evolve to more than making change.","2016-12-06","2017-02-26 20:16:02","2019-09-23 17:53:20","2017-02-26 20:16:02","","","","","","","","","","","","","","","","","","","www.bloomberg.com","","","","F:\zotero\storage\HTIU3GSA\amazon-go-and-what-happens-when-checkout-lines-go-away.html; ","https://www.bloomberg.com/view/articles/2016-12-06/amazon-go-and-what-happens-when-checkout-lines-go-away","","Employment; Jobs; Tech; Youtube; Shopping; Seattle; Wall Street","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"446ENVQR","webpage","2017","Jaravel, Xavier","Product innovations and inflation in the U.S. retail sector have magnified inequality","Equitable Growth","","","","http://equitablegrowth.org/research-analysis/product-innovations-and-inflation-in-the-retail-sector-have-magnified-inequality/","Do product innovations affect economic inequality? In a new working paper published today, I find that shifts in income distribution in the United States lead to product innovations that target…","2017-03-14","2017-03-23 13:42:26","2019-09-23 17:54:22","2017-03-23 13:42:26","","","","","","","","","","","","","","","","","","","","","","","F:\zotero\storage\DCUU9GWW\product-innovations-and-inflation-in-the-retail-sector-have-magnified-inequality.html; ","http://equitablegrowth.org/research-analysis/product-innovations-and-inflation-in-the-retail-sector-have-magnified-inequality/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IPQVN4A4","webpage","","Goldstein, Steve","Where have all the mall jobs gone? Retail employment weak in February","MarketWatch","","","","http://www.marketwatch.com/story/whither-those-mall-jobs-retail-employment-weak-in-february-2017-03-10","During a month where most industries added jobs, there was a notable outlier. The retail industry shed 26,000 jobs during the month of February, its worst single-month showing in more than four years.","","2017-03-23 17:26:44","2019-09-23 17:53:32","2017-03-23 17:26:44","","","","","","","Where have all the mall jobs gone?","","","","","","","","","","","","","","","","F:\zotero\storage\3XP6NK82\whither-those-mall-jobs-retail-employment-weak-in-february-2017-03-10.html; ","http://www.marketwatch.com/story/whither-those-mall-jobs-retail-employment-weak-in-february-2017-03-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C5WUQG8I","magazineArticle","2017","Del Rey, Jason","Millennials buy more clothes on Amazon than any other website","Recode","","","","http://www.recode.net/2017/3/9/14872122/amazon-millennials-online-clothing-sales-stitch-fix","Yes, Amazon.","2017-03-09","2017-03-23 17:27:04","2019-09-23 17:52:49","2017-03-23 17:27:04","","","","","","","","","","","","","","","","","","","","","","","F:\zotero\storage\NGGCWDNW\amazon-millennials-online-clothing-sales-stitch-fix.html; ","http://www.recode.net/2017/3/9/14872122/amazon-millennials-online-clothing-sales-stitch-fix","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XACDA6UQ","magazineArticle","2017","Reese, Hope","Robots in warehouses to jump 15X over next 4 years, but won't take all the jobs","TechRepublic","","","","http://www.techrepublic.com/article/robots-in-warehouses-will-expand-to-620000-by-2021-according-to-report/","The demand for robots in warehouses and logistics processes is set to majorly impact supply chain operations, going from 40,000 units in 2016 to a projected 620,000 by 2021.","2017-03-06","2017-03-23 21:51:41","2019-09-23 17:57:29","2017-03-23 21:51:41","","","","","","","","","","","","","","","","","","","","","","","F:\zotero\storage\J8T39F6F\robots-in-warehouses-will-expand-to-620000-by-2021-according-to-report.html; ","http://www.techrepublic.com/article/robots-in-warehouses-will-expand-to-620000-by-2021-according-to-report/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
